url,cp,prix,etg,asc,ter,park,maj,ref,disp,gar,transp,prox,surf,const,toil,toil_sep,sdb,meuble,rang,chauf,cuis,gard,ent,calme,piece,descr,hon,tel,score_gen,nb_votes,date_last_vote,score_shop,score_rest,score_rep,score_transp,score_cult,score_neigh,score_safe,score_clean,score_calm,score_price,score_green,score_traf,score_air,score_park
http://www.seloger.com/annonces/locations/appartement/paris-11eme-75/bastille-popincourt/81021353.htm,75011,1 850 ,4,non,N.C,N.C,31 / 10 / 2013,13.20,,2700 €,metro_paris:Bastille,Bastille,56 m²,1800,1,,,oui,oui,individuel...,,,,,2,"En plein coeur de Bastille, vivre à Paris vous propose ce grand meublé de 2 pièces, avec poutres apparentes et vue sur la place de la Bastille, au 4ème étage d'un immeuble typiquement Parisien La pièce principale se compose d'un coin salon équipé d'un canapé lit, d'une télévision, d'une dable basse et d'un espace dinatoire pour 6 personnes. La cuisine est ouverte et entièrement équipée: plaques de cuissons, lave-vaisselle, lave-linge, réfrigérateur, four et grille pain. La chambre, donnant sur cour dispose d'un grand lit et de nombreux rangements très bien intégrés. La salle d'eau, dispose d'un baignoire, d'un lavabo, de rangements et de toilettes. Wi-Fi et TV inclus. Consommation électrique à la charge du locataire. Disponible pour locations de 3 à 12 mois. Frais d'agence à négocier selon la durée de la location. Information available in English.",3300 €,01 44 54 97 97,Très agréable,31,09/10/2013,4,4,4,4,4,3,4,3,4,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-3eme-75/archives/81002797.htm,75003,1 850 ,rdc,non,N.C,N.C,31 / 10 / 2013,1317,,3700 €,,Marais,50 m²,,1,,,oui,oui,individuel...,américaine,,,oui,2,"En plein coeur du Marais historique, Vivre à Paris vous propose ce charmant deux pièces de 50m² au sol, meublé de façon contemporaine. Pièce principale, avec une grande fenêtre apportant une belle luminosité, équipée d'un canapé et dispose également d'un espace dinatoire. Cuisine américaine très bien équipée. Chambre calme, donnant sur cour, équipée d'un grand lit double et de rangements s'intégrant parfaitement à la décoration d'ensemble. Salle de bain, à l'esprit très contemporain, possède une baignoire, un lavabo et des toilettes. Wi-Fi et TV inclus. Soigneusement décoré. Disponible pour locations de 3 à 12 mois. Frais d'agence à négocier selon la durée de la location. Information available in English.",3330 €,01 44 54 97 97,Exceptionnelle,6,09/10/2013,4,4,4,5,3,3,4,3,3,2,2,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-12eme-75/bois-de-vincennes/81774505.htm,75012,1 850 ,2,oui,N.C,N.C,15 / 11 / 2013,01046,,1575 €,metro_paris:Porte Doree,,63 m²,1965,1,,,,oui,central...,,oui,oui,,3,Métro porte doree/bizot ligne 8 immeuble en pierre agraphee ravalement récent copropriété bien tenue avec gardiens/ ascenseur espaces verts 3 pièces comprenant entrée avec placards un séjour 1 chambre avec balcon sur rue et une chambre s/jardins cuisine aménagée neuve une salle de bains un WC indépendant une cave appartement traversant clair et en bon état chauffage et eau chaude collectifs proche tramway lycée paul valery promenade plantée et bois de vincennes.,1500 €,01 71 19 44 70,Très agréable,31,08/09/2013,4,3,3,4,3,3,3,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-7eme-75/ecole-militaire/81777881.htm,75007,1 850 ,3,oui,non,0,15 / 11 / 2013,007-2216839,,1750.00 €,metro_paris:Ecole Militaire,,55 m²,,1,,,,oui,individuel,séparée...,,,oui,2,"Metro École Militaire - CHAMPS DE MARS. Avenue de la Bourdonnais /rue de Monttessuy. Très beau 2 pièces en PARFAIT ÉTAT au 3ème étage avec ascenseur comprenant: une entrée, un beau double séjour, une cuisine séparée entièrement équipée (avec électroménager), une chambre, une salle de bain. Double vitrage, calme et clair, nombreux rangements. DISPONIBLE IMMÉDIATEMENT Pour une visite contacter M. D'Orsetti au.",2212.60 €,06 24 98 71 82,Exceptionnelle,14,01/05/2013,4,4,5,4,3,4,4,5,4,2,4,4,4,3
http://www.seloger.com/annonces/locations/appartement/paris-8eme-75/parc-monceau/81797665.htm,75008,1 850 ,6,oui,non,N.C,13 / 11 / 2013,05,,1700 €,"metro_paris:Miromesnil,Monceau",Parc Monceau,54 m²,,1,oui,,,,,séparée,oui,,,3,"Métro Miromesnil – Proche place Narvik – Agréable appartement de 54 m² loi Carrez (22 m² supplémentaires au sol) au 6ème et dernier étage avec ascenseur, comprenant une entrée, un grand séjour en rotonde, deux chambres, une cuisine séparée aménagée (plaque de cuisson 4 feux incluse), une salle de bain et un WC séparé.
Idéalement situé, calme et lumineux. Chauffage central et eau chaude individuels à gaz.
Gardienne et immeuble sécurisé.",1836 €,01 49 70 93 30,Très agréable,12,03/05/2013,3,4,4,4,3,3,4,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/82252441.htm,75016,1 850 ,2,oui,non,0,15 / 11 / 2013,85652,,,metro_paris:Passy,,67 m²,,1,,,,,,séparée,,oui,,4,"LOCATION VIDE, Coeur PASSY. Rue Massenet. Dans un Immeuble Haussmannien de bon standing avec ascenseur, appartement au 2ème étage en bon état, se composant d'une entrée, d'un double séjour sur rue, d'une petite cuisine indépendante (NON ÉQUIPÉE, JUSTE L'ÉVIER + BRANCHEMENTS), d'une salle de bains, WC, 2 chambres donnant à l'arrière sur la verdure. Eau et Chauffage individuels. A voir très vite, libre de suite. Parquet Moulures cheminées. LIBRE DE SUITE.",2200.0 €,01 44 05 05 06,Très agréable,45,26/10/2013,4,3,4,4,4,4,4,4,4,3,4,3,4,3
http://www.seloger.com/annonces/locations/appartement/paris-6eme-75/odeon/82492073.htm,75006,1 850 ,3,non,non,N.C,14 / 11 / 2013,6660433,,1790 €,"metro_paris:Odeon,Saint-Michel",Métro Odéon / Saint-Michel,53 m²,,1,,,,,individuel...,séparée,,,oui,2,"Paris VIe - Rue Saint-André des Arts. Dans un très bel immeuble classé inscrit monument historique: l'hôtel du Tillet de la Bussière. Grand 2 pièces de 53 m² au 3ème étage sans ascenseur. En très bon état. Très lumineux et parfaitement au calme. Traversant. Hauteur sous plafond: 2,60 m. Il est composé d'une pièce principale avec 3 fenêtres, une grande chambre de 15 m², une salle de bains avec WC, une cuisine indépendante aménagée. Chauffage et eau chaude individuels au gaz. Disponible de suite.",2013.75 €,01 55 42 15 74,Exceptionnelle,7,12/11/2012,5,5,5,5,5,5,5,5,4,5,4,5,4,4
http://www.seloger.com/annonces/locations/appartement/paris-13eme-75/81815405.htm,75013,1 850 ,5,oui,non,0,15 / 11 / 2013,2492,,,,,80 m²,,1,,,,oui,,,,oui,,3,"XIIIème. Rue Damesme. Situé dans le quartier résidentiel des peupliers, nous vous proposons ce 3 pièces en parfait état. Très lumineux et entièrement MEUBLE. Il se compose d'une entrée, d'un séjour/salle à manger, d'une cuisine ouverte entièrement aménagée et équipée, d'une salle de bain avec baignoire, WC séparés. Nombreux rangements.",1831.5 €,06 58 45 81 58,Très agréable,23,26/05/2013,4,4,4,4,4,3,4,3,3,3,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-5eme-75/jardin-des-plantes/82901133.htm,75005,1 850 ,6,oui,non,N.C,15 / 11 / 2013,9569,16 / 12 / 2013,3700 €,"metro_paris:Place Monge (Jardin des Plantes),Saint-Jacques",Métro Place Monge,38 m²,,1,,,oui,,individuel,coin...,,,oui,2,"Appartement meublé d'environ 38 m², situé rue des Fossés Saint Jacques (quartier Panthéon - Sorbonne) dans un immeuble de standing, au 6ème étage avec ascenseur. Il comporte 1 salon, 1 chambre, 1 cuisine Kitchenette, 1 salle de douche. Le chauffage est individuel - électrique. Il est à louer sur des périodes de: 1 à 2 mois, 3 à 5 mois, 6 à 12 mois,+ de 12 mois. Consultez d'autres annonces similaires sur notre site Book-A-Flat.",2553 €,01 47 03 14 20,Très agréable,9,27/09/2013,4,5,4,4,4,3,4,4,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/83063879.htm,75016,1 850 ,7,oui,non,1,14 / 11 / 2013,Mandat N° G 183,,Salairehabituelnet/mois:5550 €,metro_paris:Mirabeau,Paris XVI - Mirabeau,72 m²,,1,oui,,,,,,,,,3,"Rue François Gérard: Dans un immeuble Résidentiel et Bourgeois, un 3 Pièces de 72 M² environ, au 7ème et dernier étage lumineux, donnant plein Sud et sur une cour calme, comprenant un entrée, un séjour de 24 M² environ, une cuisine aménagée, 2 chambres, une salle de bain, un WC Séparé. Ascenseur. Cave. Parking au sous-sol.",1509 €,01 39 55 06 06,Très agréable,45,26/10/2013,4,3,4,4,4,4,4,4,4,3,4,3,4,3
