url,cp,prix,etg,asc,ter,park,maj,ref,disp,gar,transp,prox,surf,const,toil,toil_sep,sdb,meuble,rang,chauf,cuis,gard,ent,calme,piece,descr,hon,tel,score_gen,nb_votes,date_last_vote,score_shop,score_rest,score_rep,score_transp,score_cult,score_neigh,score_safe,score_clean,score_calm,score_price,score_green,score_traf,score_air,score_park
http://www.seloger.com/annonces/locations/appartement/paris-13eme-75/buttes-aux-cailles-glaciere/82967669.htm,75013,890,1,oui,non,N.C,"14 / 11 / 2013",0,,785,,Sante/arago,32 m²,,1,,,,oui,central...,séparée,oui,oui,,1,"71 Boulevard Arago-75013 Paris Métro 6 ""Glacière"" Dans un bel immeuble moderne, au milieu de la verdure, beau studio en parfait état, comprenant: entrée avec placard, pièce principale, cuisine indépendante aménagée et équipée, salle de bain avec WC. Digicode, gardien, ascenseur, chauffage collectif et eau chaude individuelle électrique. Disponible de suite. Isambert Blomet.",880,"01 44 19 62 62","Très agréable",23,2013/05/26,4,4,4,4,4,3,4,3,3,3,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-12eme-75/aligre-gare-de-lyon/83312775.htm,75012,890,3,oui,non,N.C,"14 / 11 / 2013",1302,,800,"metro_paris:Bastille,Gare de Lyon,Ledru-Rollin",,19 m²,,1,,,,,central...,équipée,,,,1,"Metro LEDRU-ROLLIN, Metro BASTILLE, Metro GARE DE LYON Entre la place de la Bastille et la Gare de Lyon, studio entièrement refait à neuf, au 3ème étage avec ascenseur, comprenant une pièce principale, cuisine équipée et aménagée de couleur blanche, salle d'eau avec WC, branchements machine LV, Chauffage et Eau chaude inclus, proche commerces et transports Libre de Suite.",800,"01 71 19 44 70","Très agréable",31,2013/09/08,4,3,3,4,3,3,3,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-13eme-75/nationale-deux-moulins/60958199.htm,75013,890,6,oui,non,N.C,"14 / 11 / 2013",12054,,1600,,,20 m²,,1,oui,,,,,équipée,oui,,,1,"M°Gobelins, studio dans un immeuble récent qui se situe au 6ème étage avec ascenseur. L'appartement refait à neuf se compose d'une entrée, d'une cuisine équipée, d'une salle d'eau / WC, d'un séjour avec balcon, chauffage collectif. Calme, ensoleillé, sécurisé (gardienne) et vue dégagée.",1200,"01 42 74 06 17","Très agréable",23,2013/05/26,4,4,4,4,4,3,4,3,3,3,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-15eme-75/pasteur-montparnasse/80536679.htm,75015,890,3,oui,N.C,N.C,"14 / 11 / 2013",1863549,,753,,"Location studio",28 m²,1970,1,,,,oui,central,américaine,,oui,,1,"ANTOINE BOURDELLE - Au 3ème Étage d'un Immeuble Récent, Beau Studio d'une Surface de 28 m² comprenant: Une Entrée avec Placards, Une Grande Pièce Principale, Un Coin Cuisine, Une Salle de Bains avec WC. Proximité Commerces et Transports.",890,"01 45 25 90 41","Très agréable",29,2013/10/17,4,4,4,4,4,3,4,4,4,3,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-1er-75/83384385.htm,75001,890,6,oui,non,N.C,"15 / 11 / 2013",AY1-658,,837,,"Saint honoré",27 m²,,1,oui,,,,individuel...,séparée,,oui,,1,"Rue Saint Honoré, Studio de 26.87 m² au 6ème étage, avec ascenseur, composé d'une entrée, pièce principale, cuisine équipée (plaques électriques et réfrigérateur), une salle d'eau, WC séparé, dégagement. Digicode. Chauffage et eau chaude individuels électrique.",990,"06 71 91 07 71","Très agréable",11,2012/12/29,4,4,4,4,4,4,4,4,3,3,4,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-4eme-75/ile-saint-louis/79827831.htm,75004,890,4,non,non,N.C,"07 / 11 / 2013",307,,,,,22 m²,,1,,,,,,équipée,,,,1,"Charmant studio situé Bld Henri IV au 4ème étage sans 
ascenseur, comprenant: une pièce principale avec une 
kitchenette équipée d'une plaque de cuisson et d'un 
réfrigérateur et une salle d'eau avec WC.
APPARTEMENT LUMINEUX donnant sur cour- DISPONIBLE DE SUITE -
Chauffage et production EC individuel. électrique.
Loyer 930,00E cc.",797.13 €,"01 44 54 21 65",Séduisante,15,2013/10/29,4,4,4,4,4,3,3,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-4eme-75/83006243.htm,75004,890,4,non,non,0,"14 / 11 / 2013",VM0420,,,,,20 m²,,,,,,,,coin...,,,oui,1,"boulevard, Henri IV, au 5e et dernier étage d'un immeuble ancien par escalier de service, studio entièrement rénové sur cour. Séjour avec kitchenette, salle de douches avec WC. Clair et calme. 20 M² - Location vide - Loyer: 860 e - Prov°/Charges: 30e - Dépôt de garantie: 860 e - Frais d'agence: 825 e - Frais de rédaction d'acte: 360 e - LIBRE SE SUITE - Agence Villaret Immobilier Marais.",825,"01 42 78 17 78",Séduisante,15,2013/10/29,4,4,4,4,4,3,3,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-12eme-75/83548611.htm,75012,890,8,oui,non,1,"14 / 11 / 2013",9242048,,800,"metro_paris:Gare de Lyon,Reuilly-Diderot","Gare de lyon - reuilly",27 m²,1975,1,,,,oui,central...,équipée,,oui,,1,"75012 - REUILLY DIDEROT - Rue Rambouillet - STUDIO AVEC PARKING Dans un immeuble récent, studio de 26m² au 8ème étage, comprenant: entrée avec placards, une très agréable pièce principale, une cuisine équipée, une salle de bains avec WC. TRÈS BON ÉTAT ! Eau chaude et chauffage COLLECTIFS ! Loué avec une place de parking en sous-sol !! Votre contact pour le visiter: M. CARLIER.",890,"06 08 51 74 18","Très agréable",31,2013/09/08,4,3,3,4,3,3,3,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-19eme-75/83547883.htm,75019,890,8,oui,non,0,"14 / 11 / 2013",5795,"06 / 01 / 2014",,metro_paris:Ourcq,Ourcq,25 m²,,,,,oui,oui,électrique,coin...,,,,1,"25 m2, 8e étage, immeuble moderne, ascenseur, entrée, pièce principale, avec canapé-lit, salle de douche avec WC , kitchenette équipée (four micro-ondes) ; chauffage électrique, double vitrage, mobilier mixte bien, placards, TV, bon état, parquet, lumineux, calme, balcon, exposition Sud. Honoraires de 1 064,44 e à 1 532,79 e selon la durée de location., -AUTRES APTS MEUBLES CHEZ CAPITALE PARTNERS, capitale-partners.com, pages Annonces-.",,"01 42 68 35 60",Séduisante,39,2013/09/03,4,3,3,4,4,3,3,3,3,4,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-8eme-75/hoche-friedland/81347037.htm,75008,890,1,oui,non,0,"14 / 11 / 2013",5797,,,"metro_paris:Charles de Gaulle-Etoile,Saint-Philippe du Roule","Saint-Philippe du Roule",27 m²,,,,,,oui,central,coin...,,,,1,"studio 27 m2, 1er étage, bel immeuble moderne, ascenseur, entrée, pièce principale, salle de bains avec WC (+ emplacement pour machine à laver), kitchenette (2 plaques électrique, réfrigérateur), chauffage central et eau chaude collective, non meublé ; grands placards, bon état, parquet, clair, calme, standing, près des Champs Elysées ; digicode, gardien. Honoraires de 766,40 e part locataire.",,"01 42 68 35 60","Très agréable",12,2013/05/03,3,4,4,4,3,3,4,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-12eme-75/82870667.htm,75012,890,1,oui,non,N.C,"14 / 11 / 2013",FON6434,,,"metro_paris:Porte de Vincennes",,28 m²,1900,1,,,oui,,gaz,américaine...,oui,,oui,2,"Métro porte de Vincennes, dans une rue calme, joli 2 pièces meublé en 1er étage avec ascenseur comprenant entrée, séjour, cuisine ouverte, chambre, salle d'eau avec WC et cave. Libre de suite.","835,4","01 48 76 89 89","Très agréable",31,2013/09/08,4,3,3,4,3,3,3,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-17eme-75/epinettes-bessieres/81124507.htm,75017,890,5,oui,oui,N.C,"25 / 10 / 2013",locstudpouchet,,1mois €,metro_paris:Brochant,"Métro L13 (Brochant)",27 m²,1978,1,,,oui,,individuel...,américaine...,,,,1,"A louer, dans résidence récente, au 5ème étage avec ascenseur, studio lumineux entièrement meublé et équipé, d'une surface totale de 27 m² (26,80 m² Carrez)+ 9 m² terrasse, comprenant une entrée avec rangements, une salle de bains et toilettes, une pièce principale avec cuisine américaine intégrée (comptoir, réfrigérateur-congélateur Liebherr, lave/sèche linge Miele, plaque 4 feux vitrocéramique, hotte, four/grill micro-ondes/chaleur tournante/vapeur, plan de travail bois et nombreux rangements, ustensiles cuisine pour 4 personnes.), canapé convertible BZ 2 personnes., meubles, étagères et éclairages. Alcôve équipée d'un lit sommier et matelas 160*200. Rideaux. Baie vitrée coulissante accès terrasse de 9 m² exposée OUEST, équipée d'une table bistrot rectangulaire marbre et fonte, 2 chaises pliantes teck, grill électrique, éclairage halogène et store, sol gazon synthétique. Volets roulants, porte blindée, digicode, interphone, alarme. Chauffage électrique individuel convecteurs et sèche-serviettes verre (consommation annuelle: 600E). Consommation eau froide et chaude comprise dans forfait charges.",890,"06 74 95 91 97","Très agréable",36,2013/10/01,4,4,4,4,3,4,4,3,4,3,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-18eme-75/la-chapelle-marx-dormoy/83350893.htm,75018,890,4,N.C,non,N.C,"13 / 11 / 2013",83350893,,,"metro_paris:Gare du Nord,La Chapelle",,30 m²,,1,,,,,,,,oui,oui,2,"Metro LA CHAPELLE accès Gare du Nord, rue St Luc, vue sur l'Église St Bernard, appartement 2 pièces, traversant, lumineux et calme au 4ème étage. Entrée, salle de douche avec WC, cuisine aménagée et séparée, chambre, séjour en enfilade. Chauffage et eau chaude individuels électriques, fenêtres double vitrage. Parquet. Libre de suite.",826.11 €,"01 46 07 72 05","Très agréable",29,2013/08/24,4,4,3,4,3,3,3,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-18eme-75/clignancourt-jules-joffrin/78959093.htm,75018,890,6,oui,non,N.C,"15 / 11 / 2013",78959093,,,"metro_paris:Jules Joffrin","Proximité Mairie Jules Joffrin ligne 12",28 m²,1900,1,oui,,,,individuel...,américaine,,,,2,"Proximité Mairie Jules Joffrin ligne 12 - rue Montcalm. Dans bel immeuble pierre de taille 6ème étage ascenseur, charmant 2 pièces 28m²env en bon état très calme et très lumineux. Séjour et chambre sur cour, cuisine ouverte aménagée, WC séparé, coin douche séparé. Loyer cc 890 euros. Honoraires d'acte de location 1002 euros TTC.",1002,"01 56 90 11 00","Très agréable",29,2013/08/24,4,4,3,4,3,3,3,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-12eme-75/jardin-de-reuilly/79212077.htm,75012,890,1,oui,non,1,"14 / 11 / 2013",192-1,,800,"metro_paris:Dugommier,Picpus","Métro DUGOMMIER",37 m²,,1,oui,,,,,séparée,,oui,,1,"Quartier Jardin de Reuilly/ Picpus, dans un immeuble récent, sécurisé, code, digicode, un STUDIO situé au 1er étage avec ascenseur composé de: entrée (parquet refait neuf) avec penderie, séjour avec parquet refait neuf, grande cuisine carrelée séparée, grande salle de bains avec WC, une cave et un parking en sous-sol. En bon état général. Contact Françoise CANO.","861,12","06 81 62 88 73","Très agréable",31,2013/09/08,4,3,3,4,3,3,3,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-14eme-75/didot-porte-de-vanves/81489657.htm,75014,890,4,oui,non,N.C,"15 / 11 / 2013","SLL 8",,,,"Rue Didot",30 m²,,1,oui,,,,,,oui,,,1,"Dans immeuble de standing 1990, au 4ème étage avec ascenseur, très agréable studio avec vue dégagée offrant entrée avec placard, cuisine, séjour avec placards baie vitrée et balcon exposition ouest, salle de bains, WC séparé, chauffage collectif radiateurs, parquet, fenêtres double vitrage, gardien digicode interphone. Bon état. Très calme et ensoleillé. Quartier animé et commerçant.",713,"01 45 42 66 99","Très agréable",18,2013/10/09,4,5,4,4,4,4,4,4,4,3,4,4,3,3
http://www.seloger.com/annonces/locations/appartement/paris-7eme-75/82840127.htm,75007,890,N.C,N.C,non,N.C,"13 / 11 / 2013","TOUR MAUBOURG",,1780,,Métro,17 m²,,1,,,oui,oui,,coin...,,oui,oui,1,"Charmant studio meublé, parfaitement agencé et décoré avec goût. Espace optimisé. Vue dégagée, clair et très calme. L'appartement comprend une petite entrée desservant une salle d'eau avec WC, puis la pièce principale avec placard de rangement. Coin cuisine aménagée et entièrement équipée. Coin bureau. Très agréable à vivre. Idéal étudiant ou pied à terre. Surface carrez de 15.27 M². Surface au sol de 16.87 M². Très sérieuses garanties de solvabilité exigées.",1500,"01 42 67 35 97",Exceptionnelle,14,2013/05/01,4,4,5,4,3,4,4,5,4,2,4,4,4,3
http://www.seloger.com/annonces/locations/appartement/paris-18eme-75/amiraux-simplon-poissonniers/81782991.htm,75018,890,1,N.C,non,N.C,"15 / 11 / 2013",163264,,,metro_paris:Blanche,,36 m²,,1,,,,oui,,séparée,,oui,,2,"Bel appartement de deux pièces en parfait état - parquet ancien - entrée - cuisine séparée -séjour sur rue des portes blanches - chambre parquetée- salle d'eau avec WC. Rangement. Métro marcadet. Beaucoup de charme. Idéal colocation.",821.81 €,"01 40 38 99 00","Très agréable",29,2013/08/24,4,4,3,4,3,3,3,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-20eme-75/telegraphe-pelleport-saint-fargeau/83228745.htm,75020,890,11,oui,non,N.C,"14 / 11 / 2013",StFarg11°,,770,metro_paris:Saint-Fargeau,"Metro Saint fargeau",34 m²,1970,1,,,,oui,central,séparée,oui,oui,,1,"Rue St Fargeau, proche métro et commerces, immeuble récent avec gardien, digicode, chauffage et eau chaude collectifs,, balcon, studio de 34m² au 11ème et dernier étage avec ascenseur comprenant entrée + placard, WC, séjour de 19 m², cuisine séparée, salle de bains.",792,"01 45 77 46 10","Très agréable",30,2013/09/09,4,4,4,4,3,4,4,4,4,4,4,3,4,3
http://www.seloger.com/annonces/locations/appartement/paris-8eme-75/83518989.htm,75008,890,3,N.C,non,N.C,"14 / 11 / 2013",SC1-168F,,790,,,31 m²,,,,,oui,,,coin...,,,,2,"Rue de la Bienfaisance, dans un immeuble du 18ÈME, appartement composé de deux pièces entièrement sur belle cour pavée.
Séjour/cuisine, chambre et salle de bain.
Appartement meublé. Charges de chauffage, d'électricité et d'eau comprises. Merci de m'adresser un mail pour connaître les possibilités de visites.",1180,"01 42 58 70 48","Très agréable",12,2013/05/03,3,4,4,4,3,3,4,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-11eme-75/nation-alexandre-dumas/81364509.htm,75011,890,N.C,N.C,non,N.C,"06 / 11 / 2013",CHARONNE,,,"metro_paris:Charonne,Nation",Nation,26 m²,,,,,,,,américaine,,,,1,"Boulevard de Charonne, Grand studio, clair, refait à neuf, comprenant une entrée, une grande pièce à vivre, une cuisine à l'américaine entièrement équipée, une salle d'eau, chauffage collectif compris dans les charges.",897,"01 44 75 38 84","Très agréable",31,2013/10/09,4,4,4,4,4,3,4,3,4,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-18eme-75/amiraux-simplon-poissonniers/82465115.htm,75018,890,2,N.C,non,N.C,"15 / 11 / 2013","Rue du Simplon",,,metro_paris:Simplon,,32 m²,,1,,,oui,,,américaine...,,oui,,2,"Rue du Simplon, au 2ème étage, 2 pièces meublé en parfait état (rénové en 2012) composé d'une entrée, d'un séjour avec cuisine américaine équipée, d'une chambre et d'une salle de bains avec WC et dressing.
Double vitrage.",1085.01 €,"01 42 12 79 02","Très agréable",29,2013/08/24,4,4,3,4,3,3,3,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-19eme-75/manin-jaures/82718771.htm,75019,890,3,non,non,N.C,"15 / 11 / 2013",GTF09-380179,,,"metro_paris:Jaures,Ourcq",,38 m²,,1,,37,,,,,,,oui,2,"A LOUER 2Pièces 38 m² Paris 19ème.
Avenue Jean Jaurès, proche Métro Ourcq, Appartement en état d'usage, situé au 3ème étage avec ascenseur, dans immeuble calme, composé d'une entrée, séjour, chambre, cuisine aménagée, salle de bains avec WC. Libre de suite Un mois de franchise accordé pour rénovation. * soumis à l'assurance des loyers impayés*
Contact Tina CHEBBI de préférence par mail 
Dossier de candidature à télécharger sur notre site: gtflocations (rubrique location/recherche).","934,8","06 30 52 82 92",Séduisante,39,2013/09/03,4,3,3,4,4,3,3,3,3,4,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-18eme-75/amiraux-simplon-poissonniers/83340277.htm,75018,890,1,N.C,non,N.C,"15 / 11 / 2013",ORD,,,"metro_paris:Blanche,Marcadet-Poissonniers","Marcadet poissonniers",36 m²,,1,,,,,,séparée,,,,2,"18ème rue ordener- marcadet poissonniers- 2 pièces de 36m² en bon état- parquet ancien- séjour- chambre- cuisine séparée- salle d'eau avec WC- 
1er étage sur rue des portes blanches
disponible de suite.",821,"01 42 52 86 27","Très agréable",29,2013/08/24,4,4,3,4,3,3,3,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-5eme-75/val-de-grace/83487759.htm,75005,890,2,non,non,0,"14 / 11 / 2013",PIMC412,,,,,22 m²,,,,,,,,aucune,,,,1,"Studio meublé situe au 2ème avec ascenseur, salle de bain, WC séparé, tous commerces dans la rue, visite le mardi 19 novembre 2013 de 15h30 à 17h. Merci de bien vouloir me contacter pour rdv. Gabriel.",,"06 26 61 72 40","Très agréable",9,2013/09/27,4,5,4,4,4,3,4,4,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-11eme-75/83516595.htm,75011,890,3,oui,non,0,"15 / 11 / 2013",29864,"30 / 11 / 2013",,metro_paris:Parmentier,,30 m²,,1,,,oui,,,séparée,,,,2,"Métro Parmentier, appartement meublé comprenant un séjour, une cuisine indépendante équipée, une chambre, une salle d'eau et WC séparé. Loyer charges comprises: 890 EuroHonoraires agence: 1035,96 EuroTel agence.",1035.96 €,"01 44 54 12 00","Très agréable",31,2013/10/09,4,4,4,4,4,3,4,3,4,4,3,3,3,3
